category,avg_person_g,avg_males_g,avg_females_g
Alcoholic beverages,2.15,3.95,0.25
Beers,0.45,0.9,0
Wines,0.45,0.9,0
Spirits,0.1,0.15,0
Cider and perry,0,0,0
Other alcoholic beverages,0.55,1.05,0
De-alcoholised beverages,0.55,0.85,0.25
Special dietary foods,6.9,9.9,3.7
Formulated dietary foods,6.9,9.9,3.7
Miscellaneous,0.8,0.8,0.7
"Yeast, and yeast vegetable or meat extracts",0.6,0.65,0.6
Intense sweetening agents,0,0,0
"Herbs, spices, seasonings and stock cubes",0.15000000000000002,0.15,0.1
Essences,0,0,0
Chemical raising agents and cooking ingredients,0,0,0
Infant formulae and foods,0.15000000000000002,0.2,0.1
Infant formulae and human breast milk,0,0,0
Infant cereal products,0.1,0.15,0.05
Infant foods,0.05,0.05,0
Reptiles and insects,0,0,0
Reptiles,0,0,0
Insects,0,0,0
Total food and beverages,2766.45,2944.1000000000004,2579.25
Total persons,2095.25,NA,NA
